"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","ORF1a_SD_27_29_30_Run 2014-03-28 (1).rex"
"Date","2014/04/07"
"Time","10:51:30 AM"

"Operator","Rachelle"
"Run Id",""
"Notes","ORF1a
53 C
Standard curve
Sample 27, 29, 30"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7"
"Yellow","5"
"HRM","1.33333333333333"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Melt A.Green (Page 1)","0"
"Cycling A.Green (Page 1)","0.1542"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","2","Standard","17.62","","10.0000","8.2152","17.8%","17.56","0.07","[17.38 , 17.73]","8.5789","[5.1609 , 14.2607]"
"2","255","2","Standard","17.57","","10.0000","8.5037","15.0%","","","","",""
"3","255","2","Standard","17.48","","10.0000","9.0379","9.6%","","","","",""
"4","33023","3","Standard","19.27","","2.0000","2.5818","29.1%","19.37","0.10","[19.13 , 19.62]","2.4028","[1.6311 , 3.5396]"
"5","33023","3","Standard","19.47","","2.0000","2.2513","12.6%","","","","",""
"6","33023","3","Standard","19.38","","2.0000","2.3868","19.3%","","","","",""
"7","32768","4","Standard","22.04","","0.4000","0.3696","7.6%","21.92","0.11","[21.64 , 22.20]","0.4030","[0.2944 , 0.5516]"
"8","32768","4","Standard","21.89","","0.4000","0.4109","2.7%","","","","",""
"9","32768","4","Standard","21.83","","0.4000","0.4308","7.7%","","","","",""
"10","16744448","5","Standard","23.99","","0.0800","0.0944","18.0%","24.13","0.19","","0.0860","[0.0585 , 0.1264]"
"11","16744448","5","Standard","24.26","","0.0800","0.0783","2.2%","","","","",""
"13","8388736","6","Standard","26.86","","0.0160","0.0126","20.9%","26.65","0.21","[26.13 , 27.16]","0.0147","[0.0084 , 0.0257]"
"14","8388736","6","Standard","26.45","","0.0160","0.0169","5.6%","","","","",""
"15","8388736","6","Standard","26.63","","0.0160","0.0148","7.3%","","","","",""
"16","11564800","27.1","Unknown","21.46","","","0.5549","","21.45","0.11","[21.18 , 21.71]","0.5618","[0.2662 , 1.1859]"
"17","11564800","27.1","Unknown","21.33","","","0.6090","","","","","",""
"18","11564800","27.1","Unknown","21.54","","","0.5248","","","","","",""
"19","16768407","27.2","Unknown","19.82","","","1.7572","","19.83","0.02","[19.78 , 19.88]","1.7391","[0.8063 , 3.7511]"
"20","16768407","27.2","Unknown","19.83","","","1.7495","","","","","",""
"21","16768407","27.2","Unknown","19.86","","","1.7109","","","","","",""
"22","12615680","27.3","Unknown","19.32","","","2.4937","","19.45","0.12","[19.16 , 19.74]","2.2694","[1.0423 , 4.9414]"
"23","12615680","27.3","Unknown","19.53","","","2.1568","","","","","",""
"24","12615680","27.3","Unknown","19.52","","","2.1732","","","","","",""
"25","16765817","27.4","Unknown","18.90","","","3.3393","","18.85","0.05","[18.73 , 18.97]","3.4652","[1.5629 , 7.6828]"
"26","16765817","27.4","Unknown","18.81","","","3.5610","","","","","",""
"27","16765817","27.4","Unknown","18.84","","","3.4991","","","","","",""
"28","12615680","27.5","Unknown","19.54","","","2.1385","","19.62","0.07","[19.45 , 19.79]","2.0259","[0.9343 , 4.3925]"
"29","12615680","27.5","Unknown","19.67","","","1.9533","","","","","",""
"30","12615680","27.5","Unknown","19.64","","","1.9904","","","","","",""
"31","8421376","29.1","Unknown","21.57","","","0.5157","","21.55","0.03","[21.48 , 21.61]","0.5232","[0.2479 , 1.1039]"
"32","8421376","29.1","Unknown","21.52","","","0.5344","","","","","",""
"33","8421376","29.1","Unknown","21.56","","","0.5196","","","","","",""
"34","9240518","29.2","Unknown","20.77","","","0.9014","","20.76","0.02","[20.71 , 20.81]","0.9065","[0.4271 , 1.9239]"
"35","9240518","29.2","Unknown","20.74","","","0.9215","","","","","",""
"36","9240518","29.2","Unknown","20.78","","","0.8968","","","","","",""
"37","8421376","29.3","Unknown","21.49","","","0.5434","","21.47","0.02","[21.42 , 21.53]","0.5510","[0.2611 , 1.1630]"
"38","8421376","29.3","Unknown","21.48","","","0.5488","","","","","",""
"39","8421376","29.3","Unknown","21.45","","","0.5610","","","","","",""
"40","10944422","29.4","Unknown","20.95","","","0.7930","","21.05","0.09","[20.84 , 21.26]","0.7418","[0.3505 , 1.5696]"
"41","10944422","29.4","Unknown","21.08","","","0.7278","","","","","",""
"42","10944422","29.4","Unknown","21.12","","","0.7072","","","","","",""
"43","8421376","29.5","Unknown","19.82","","","1.7507","","19.82","0.05","[19.70 , 19.94]","1.7541","[0.8130 , 3.7846]"
"44","8421376","29.5","Unknown","19.77","","","1.8148","","","","","",""
