"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","ORF1a_33_34_36_Run 2014-03-31 (1).rex"
"Date","2014/04/07"
"Time","11:49:51 AM"

"Operator","Rachelle"
"Run Id",""
"Notes","ORF1a
53 C
Sample 33, 34, 36"
"Machine Serial No","030883"

"Channel","Gain"
"Green","6.66666666666667"
"Yellow","5"
"HRM","1.33333333333333"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.1542"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","33023","3","Standard","19.90","","2.0000","1.8471","","19.79","0.10","[19.54 , 20.03]","2.0000",""
"2","33023","3","Standard","19.74","","2.0000","2.0676","","","","","",""
"3","33023","3","Standard","19.72","","2.0000","2.0947","","","","","",""
"4","11564800","33.1","Unknown","20.63","","","1.1100","","20.57","0.17","[20.15 , 21.00]","1.1531",""
"5","11564800","33.1","Unknown","20.71","","","1.0459","","","","","",""
"6","11564800","33.1","Unknown","20.38","","","1.3206","","","","","",""
"7","16768407","33.2","Unknown","19.84","","","1.9284","","19.84","0.09","[19.61 , 20.08]","1.9236",""
"8","16768407","33.2","Unknown","19.75","","","2.0521","","","","","",""
"9","16768407","33.2","Unknown","19.94","","","1.7986","","","","","",""
"10","12615680","33.3","Unknown","19.45","","","2.5369","","19.46","0.04","[19.37 , 19.55]","2.5180",""
"11","12615680","33.3","Unknown","19.50","","","2.4482","","","","","",""
"12","12615680","33.3","Unknown","19.43","","","2.5705","","","","","",""
"13","16765817","33.4","Unknown","19.32","","","2.7819","","19.24","0.07","[19.07 , 19.41]","2.9422",""
"14","16765817","33.4","Unknown","19.20","","","3.0167","","","","","",""
"15","16765817","33.4","Unknown","19.19","","","3.0348","","","","","",""
"16","12615680","33.5","Unknown","18.43","","","5.1928","","18.47","0.08","[18.26 , 18.68]","5.0438",""
"17","12615680","33.5","Unknown","18.57","","","4.7112","","","","","",""
"18","12615680","33.5","Unknown","18.41","","","5.2449","","","","","",""
"19","8421376","34.1","Unknown","20.80","","","0.9836","","20.79","0.12","[20.48 , 21.09]","0.9936",""
"20","8421376","34.1","Unknown","20.66","","","1.0871","","","","","",""
"21","8421376","34.1","Unknown","20.90","","","0.9173","","","","","",""
"22","9240518","34.2","Unknown","19.91","","","1.8380","","19.95","0.04","[19.84 , 20.05]","1.7923",""
"23","9240518","34.2","Unknown","19.94","","","1.8033","","","","","",""
"24","9240518","34.2","Unknown","19.99","","","1.7371","","","","","",""
"25","8421376","34.3","Unknown","19.35","","","2.7180","","19.32","0.05","[19.21 , 19.44]","2.7724",""
"26","8421376","34.3","Unknown","19.27","","","2.8803","","","","","",""
"27","8421376","34.3","Unknown","19.35","","","2.7219","","","","","",""
"28","10944422","34.4","Unknown","19.03","","","3.3994","","19.12","0.10","[18.88 , 19.35]","3.2003",""
"29","10944422","34.4","Unknown","19.22","","","2.9791","","","","","",""
"30","10944422","34.4","Unknown","19.10","","","3.2367","","","","","",""
"31","8421376","34.5","Unknown","19.10","","","3.2432","","19.14","0.05","[19.02 , 19.25]","3.1572",""
"32","8421376","34.5","Unknown","19.12","","","3.1881","","","","","",""
"33","8421376","34.5","Unknown","19.19","","","3.0438","","","","","",""
"34","8421631","36.1","Unknown","19.95","","","1.7921","","19.91","0.05","[19.79 , 20.03]","1.8367",""
"35","8421631","36.1","Unknown","19.93","","","1.8131","","","","","",""
"36","8421631","36.1","Unknown","19.86","","","1.9069","","","","","",""
"37","179","36.2","Unknown","20.32","","","1.3749","","20.31","0.03","[20.24 , 20.37]","1.3915",""
"38","179","36.2","Unknown","20.32","","","1.3795","","","","","",""
"39","179","36.2","Unknown","20.28","","","1.4206","","","","","",""
"40","8421631","36.3","Unknown","19.85","","","1.9213","","19.89","0.06","[19.73 , 20.05]","1.8617",""
"41","8421631","36.3","Unknown","19.96","","","1.7700","","","","","",""
"42","8421631","36.3","Unknown","19.86","","","1.8974","","","","","",""
"43","168","36.4","Unknown","18.83","","","3.9218","","18.84","0.07","[18.66 , 19.02]","3.8840",""
"44","168","36.4","Unknown","18.78","","","4.0638","","","","","",""
"45","168","36.4","Unknown","18.92","","","3.6763","","","","","",""
"46","8421631","36.5","Unknown","18.15","","","6.2934","","18.03","0.10","[17.78 , 18.29]","6.8363",""
"47","8421631","36.5","Unknown","17.98","","","7.0963","","","","","",""
"48","8421631","36.5","Unknown","17.97","","","7.1541","","","","","",""
"49","8355711","CS9","Negative Control","","","","","","","","","",""
"50","8355711","CS9","Negative Control","","","","","","","","","",""
"51","8355711","CS9","Negative Control","","","","","","","","","",""
"52","0","Ntc","NTC","","","","","","","","","",""
"53","0","Ntc","NTC","","","","","","","","","",""
"54","0","Ntc","NTC","","","","","","","","","",""



