"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Actin_SD_27_29_30_Run 2014-03-28 (1).rex"
"Date","2014/04/07"
"Time","11:15:10 AM"

"Operator","Rachelle"
"Run Id",""
"Notes","Actin
55 C
Standard curve
Sample 27, 29, 30"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7"
"Yellow","5"
"HRM","1.33333333333333"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.0600999999999998"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","2","Standard","14.50","","10.0000","9.4631","5.4%","14.53","0.03","[14.46 , 14.60]","9.2519","[6.2104 , 13.7828]"
"2","255","2","Standard","14.54","","10.0000","9.1804","8.2%","","","","",""
"3","255","2","Standard","14.55","","10.0000","9.1158","8.8%","","","","",""
"4","33023","3","Standard","16.99","","2.0000","1.6976","15.1%","16.66","0.28","[15.96 , 17.36]","2.1252","[1.5901 , 2.8404]"
"5","33023","3","Standard","16.50","","2.0000","2.3737","18.7%","","","","",""
"6","33023","3","Standard","16.50","","2.0000","2.3819","19.1%","","","","",""
"7","32768","4","Standard","19.02","","0.4000","0.4170","4.3%","19.03","0.01","[19.01 , 19.05]","0.4165","[0.3296 , 0.5263]"
"8","32768","4","Standard","19.02","","0.4000","0.4187","4.7%","","","","",""
"9","32768","4","Standard","19.04","","0.4000","0.4139","3.5%","","","","",""
"10","16744448","5","Standard","21.34","","0.0800","0.0847","5.9%","21.35","0.02","[21.29 , 21.41]","0.0839","[0.0632 , 0.1115]"
"11","16744448","5","Standard","21.33","","0.0800","0.0848","6.0%","","","","",""
"12","16744448","5","Standard","21.38","","0.0800","0.0823","2.9%","","","","",""
"13","8388736","6","Standard","23.63","","0.0160","0.0174","8.5%","23.86","0.21","[23.33 , 24.38]","0.0149","[0.0099 , 0.0225]"
"14","8388736","6","Standard","24.06","","0.0160","0.0130","18.8%","","","","",""
"15","8388736","6","Standard","23.88","","0.0160","0.0147","8.4%","","","","",""
"16","11564800","27.1","Unknown","16.51","","","2.3677","","16.52","0.04","[16.42 , 16.62]","2.3472","[1.2868 , 4.2813]"
"17","11564800","27.1","Unknown","16.56","","","2.2763","","","","","",""
"18","11564800","27.1","Unknown","16.49","","","2.3994","","","","","",""
"19","16768407","27.2","Unknown","16.38","","","2.5845","","16.43","0.05","[16.31 , 16.55]","2.4929","[1.3641 , 4.5558]"
"20","16768407","27.2","Unknown","16.44","","","2.4796","","","","","",""
"21","16768407","27.2","Unknown","16.48","","","2.4175","","","","","",""
"22","12615680","27.3","Unknown","16.53","","","2.3264","","16.81","0.24","[16.20 , 17.41]","1.9245","[1.0613 , 3.4899]"
"23","12615680","27.3","Unknown","16.90","","","1.8090","","","","","",""
"24","12615680","27.3","Unknown","16.99","","","1.6937","","","","","",""
"25","16765817","27.4","Unknown","16.94","","","1.7582","","16.98","0.06","[16.82 , 17.14]","1.7041","[0.9428 , 3.0801]"
"26","16765817","27.4","Unknown","16.96","","","1.7380","","","","","",""
"27","16765817","27.4","Unknown","17.06","","","1.6193","","","","","",""
"28","12615680","27.5","Unknown","17.20","","","1.4712","","17.28","0.07","[17.10 , 17.45]","1.3928","[0.7744 , 2.5053]"
"29","12615680","27.5","Unknown","17.30","","","1.3658","","","","","",""
"30","12615680","27.5","Unknown","17.33","","","1.3448","","","","","",""
"31","8421376","29.1","Unknown","17.01","","","1.6727","","16.99","0.03","[16.91 , 17.08]","1.6914","[0.9359 , 3.0565]"
"32","8421376","29.1","Unknown","16.96","","","1.7370","","","","","",""
"33","8421376","29.1","Unknown","17.02","","","1.6653","","","","","",""
"34","9240518","29.2","Unknown","16.90","","","1.8046","","16.96","0.06","[16.82 , 17.11]","1.7266","[0.9549 , 3.1218]"
"35","9240518","29.2","Unknown","16.98","","","1.7063","","","","","",""
"36","9240518","29.2","Unknown","17.01","","","1.6715","","","","","",""
"37","8421376","29.3","Unknown","16.40","","","2.5544","","16.43","0.03","[16.36 , 16.50]","2.4989","[1.3673 , 4.5670]"
"38","8421376","29.3","Unknown","16.45","","","2.4621","","","","","",""
"39","8421376","29.3","Unknown","16.44","","","2.4810","","","","","",""
"40","10944422","29.4","Unknown","16.14","","","3.0472","","16.34","0.20","[15.85 , 16.83]","2.6563","[1.4505 , 4.8645]"
"41","10944422","29.4","Unknown","16.35","","","2.6465","","","","","",""
"42","10944422","29.4","Unknown","16.53","","","2.3242","","","","","",""
"43","8421376","29.5","Unknown","16.94","","","1.7548","","17.03","0.10","[16.79 , 17.27]","1.6534","[0.9155 , 2.9862]"
