"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Actin_33_34_36_Run 2014-03-31 (1).rex"
"Date","2014/04/07"
"Time","11:54:18 AM"

"Operator","Rachelle"
"Run Id",""
"Notes","Actin
55 C
Sample 33, 34, 36"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7"
"Yellow","5"
"HRM","1.33333333333333"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.0600999999999998"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","33023","3","Standard","16.94","","2.0000","2.0151","","16.95","0.17","[16.53 , 17.38]","2.0000",""
"2","33023","3","Standard","16.79","","2.0000","2.2400","","","","","",""
"3","33023","3","Standard","17.13","","2.0000","1.7724","","","","","",""
"4","11564800","33.1","Unknown","16.75","","","2.2951","","17.00","0.22","[16.44 , 17.55]","1.9415",""
"5","11564800","33.1","Unknown","17.04","","","1.8838","","","","","",""
"6","11564800","33.1","Unknown","17.20","","","1.6928","","","","","",""
"7","16768407","33.2","Unknown","16.44","","","2.8412","","16.51","0.06","[16.36 , 16.65]","2.7193",""
"8","16768407","33.2","Unknown","16.52","","","2.6982","","","","","",""
"9","16768407","33.2","Unknown","16.56","","","2.6231","","","","","",""
"10","12615680","33.3","Unknown","16.75","","","2.2959","","16.89","0.19","[16.42 , 17.35]","2.0939",""
"11","12615680","33.3","Unknown","16.81","","","2.2155","","","","","",""
"12","12615680","33.3","Unknown","17.10","","","1.8049","","","","","",""
"13","16765817","33.4","Unknown","16.72","","","2.3488","","16.99","0.23","[16.41 , 17.57]","1.9527",""
"14","16765817","33.4","Unknown","17.14","","","1.7607","","","","","",""
"15","16765817","33.4","Unknown","17.11","","","1.8003","","","","","",""
"16","12615680","33.5","Unknown","17.25","","","1.6267","","17.35","0.08","[17.15 , 17.54]","1.5268",""
"17","12615680","33.5","Unknown","17.39","","","1.4811","","","","","",""
"18","12615680","33.5","Unknown","17.39","","","1.4773","","","","","",""
"19","8421376","34.1","Unknown","17.52","","","1.3553","","17.53","0.06","[17.37 , 17.68]","1.3462",""
"20","8421376","34.1","Unknown","17.59","","","1.2859","","","","","",""
"21","8421376","34.1","Unknown","17.47","","","1.3998","","","","","",""
"22","9240518","34.2","Unknown","17.29","","","1.5883","","17.34","0.04","[17.23 , 17.45]","1.5352",""
"23","9240518","34.2","Unknown","17.35","","","1.5239","","","","","",""
"24","9240518","34.2","Unknown","17.38","","","1.4949","","","","","",""
"25","8421376","34.3","Unknown","17.59","","","1.2905","","17.58","0.06","[17.44 , 17.72]","1.2996",""
"26","8421376","34.3","Unknown","17.52","","","1.3557","","","","","",""
"27","8421376","34.3","Unknown","17.63","","","1.2546","","","","","",""
"28","10944422","34.4","Unknown","16.57","","","2.6125","","16.66","0.09","[16.43 , 16.88]","2.4534",""
"29","10944422","34.4","Unknown","16.66","","","2.4496","","","","","",""
"30","10944422","34.4","Unknown","16.75","","","2.3076","","","","","",""
"31","8421376","34.5","Unknown","16.42","","","2.8889","","16.49","0.11","[16.23 , 16.76]","2.7493",""
"32","8421376","34.5","Unknown","16.44","","","2.8487","","","","","",""
"33","8421376","34.5","Unknown","16.62","","","2.5251","","","","","",""
"34","8421631","36.1","Unknown","17.17","","","1.7234","","17.02","0.24","[16.43 , 17.60]","1.9160",""
"35","8421631","36.1","Unknown","17.13","","","1.7668","","","","","",""
"36","8421631","36.1","Unknown","16.74","","","2.3100","","","","","",""
"37","179","36.2","Unknown","17.32","","","1.5552","","17.34","0.02","[17.28 , 17.40]","1.5300",""
"38","179","36.2","Unknown","17.37","","","1.5042","","","","","",""
"39","179","36.2","Unknown","17.34","","","1.5309","","","","","",""
"40","8421631","36.3","Unknown","16.87","","","2.1130","","16.85","0.03","[16.78 , 16.92]","2.1466",""
"41","8421631","36.3","Unknown","16.82","","","2.1963","","","","","",""
"42","8421631","36.3","Unknown","16.86","","","2.1312","","","","","",""
"43","168","36.4","Unknown","17.56","","","1.3189","","17.45","0.09","[17.23 , 17.68]","1.4161",""
"44","168","36.4","Unknown","17.40","","","1.4719","","","","","",""
"45","168","36.4","Unknown","17.41","","","1.4629","","","","","",""
"46","8421631","36.5","Unknown","16.41","","","2.9067","","16.41","0.02","[16.35 , 16.46]","2.9193",""
"47","8421631","36.5","Unknown","16.38","","","2.9655","","","","","",""
"48","8421631","36.5","Unknown","16.42","","","2.8862","","","","","",""
"49","0","Ntc","NTC","","","","","","","","","",""
"50","0","Ntc","NTC","","","","","","","","","",""
"51","0","Ntc","NTC","37.94","","","0.0000","","","","","",""



