"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","GAPDH_SD_27_29_30_Run 2014-03-30 (1).rex"
"Date","2014/04/07"
"Time","11:40:29 AM"

"Operator","Rachelle"
"Run Id",""
"Notes","GAPDH
55 C
Standard curve
Sample 27, 29, 30"
"Machine Serial No","030883"

"Channel","Gain"
"Green","6.66666666666667"
"Yellow","5"
"HRM","1.33333333333333"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.0949999999999998"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","2","Standard","17.37","","10.0000","9.5875","4.1%","17.38","0.03","[17.31 , 17.45]","9.5647","[6.7111 , 13.6318]"
"2","255","2","Standard","17.35","","10.0000","9.7424","2.6%","","","","",""
"3","255","2","Standard","17.41","","10.0000","9.3680","6.3%","","","","",""
"4","33023","3","Standard","19.51","","2.0000","2.1684","8.4%","19.47","0.03","[19.40 , 19.55]","2.2162","[1.7153 , 2.8634]"
"5","33023","3","Standard","19.45","","2.0000","2.2566","12.8%","","","","",""
"6","33023","3","Standard","19.47","","2.0000","2.2246","11.2%","","","","",""
"7","32768","4","Standard","21.91","","0.4000","0.4061","1.5%","21.98","0.10","[21.73 , 22.24]","0.3851","[0.3083 , 0.4811]"
"8","32768","4","Standard","21.94","","0.4000","0.3963","0.9%","","","","",""
"9","32768","4","Standard","22.10","","0.4000","0.3549","11.3%","","","","",""
"10","16744448","5","Standard","24.28","","0.0800","0.0780","2.5%","24.36","0.11","","0.0737","[0.0546 , 0.0995]"
"11","16744448","5","Standard","24.44","","0.0800","0.0697","12.8%","","","","",""
"14","8388736","6","Standard","26.25","","0.0160","0.0197","23.3%","26.47","0.32","","0.0168","[0.0111 , 0.0255]"
"15","8388736","6","Standard","26.70","","0.0160","0.0144","10.2%","","","","",""
"16","11564800","27.1","Unknown","19.18","","","2.7129","","19.31","0.11","[19.04 , 19.58]","2.4893","[1.4716 , 4.2108]"
"17","11564800","27.1","Unknown","19.39","","","2.3556","","","","","",""
"18","11564800","27.1","Unknown","19.35","","","2.4137","","","","","",""
"19","16768407","27.2","Unknown","19.88","","","1.6745","","19.88","0.03","[19.80 , 19.96]","1.6667","[0.9947 , 2.7925]"
"20","16768407","27.2","Unknown","19.92","","","1.6255","","","","","",""
"21","16768407","27.2","Unknown","19.85","","","1.7010","","","","","",""
"22","12615680","27.3","Unknown","20.13","","","1.4048","","20.19","0.05","[20.05 , 20.32]","1.3473","[0.8073 , 2.2487]"
"23","12615680","27.3","Unknown","20.23","","","1.3056","","","","","",""
"24","12615680","27.3","Unknown","20.20","","","1.3335","","","","","",""
"25","16765817","27.4","Unknown","20.16","","","1.3779","","20.20","0.09","[19.98 , 20.42]","1.3351","[0.8001 , 2.2280]"
"26","16765817","27.4","Unknown","20.14","","","1.3885","","","","","",""
"27","16765817","27.4","Unknown","20.30","","","1.2440","","","","","",""
"28","12615680","27.5","Unknown","19.98","","","1.5532","","20.04","0.06","[19.89 , 20.19]","1.4936","[0.8933 , 2.4973]"
"29","12615680","27.5","Unknown","20.03","","","1.5006","","","","","",""
"30","12615680","27.5","Unknown","20.10","","","1.4297","","","","","",""
"31","8421376","29.1","Unknown","19.66","","","1.9491","","19.75","0.11","[19.47 , 20.03]","1.8306","[1.0904 , 3.0733]"
"32","8421376","29.1","Unknown","19.71","","","1.8799","","","","","",""
"33","8421376","29.1","Unknown","19.88","","","1.6743","","","","","",""
"34","9240518","29.2","Unknown","19.52","","","2.1512","","19.49","0.03","[19.42 , 19.57]","2.1882","[1.2979 , 3.6889]"
"35","9240518","29.2","Unknown","19.46","","","2.2387","","","","","",""
"36","9240518","29.2","Unknown","19.50","","","2.1755","","","","","",""
"37","8421376","29.3","Unknown","19.46","","","2.2424","","19.38","0.07","[19.21 , 19.55]","2.3662","[1.4007 , 3.9972]"
"38","8421376","29.3","Unknown","19.36","","","2.4069","","","","","",""
"39","8421376","29.3","Unknown","19.33","","","2.4547","","","","","",""
"40","10944422","29.4","Unknown","19.04","","","2.9952","","19.08","0.03","[19.00 , 19.16]","2.9156","[1.7157 , 4.9544]"
"41","10944422","29.4","Unknown","19.10","","","2.8703","","","","","",""
"42","10944422","29.4","Unknown","19.10","","","2.8828","","","","","",""
"43","8421376","29.5","Unknown","20.01","","","1.5213","","19.96","0.08","[19.75 , 20.16]","1.5831","[0.9458 , 2.6497]"
"44","8421376","29.5","Unknown","19.86","","","1.6899","","","","","",""
"45","8421376","29.5","Unknown","19.99","","","1.5432","","","","","",""
