"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","GAPDH_33_34_36_Run 2014-04-01 (1).rex"
"Date","2014/04/07"
"Time","11:58:03 AM"

"Operator","Rachelle"
"Run Id",""
"Notes","GAPDH
55 C
Sample 33, 34, 36"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7"
"Yellow","5"
"HRM","1.33333333333333"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.0949999999999998"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","33023","3","Standard","19.90","","2.0000","2.0627","","19.95","0.07","[19.78 , 20.11]","2.0000",""
"2","33023","3","Standard","19.91","","2.0000","2.0468","","","","","",""
"3","33023","3","Standard","20.02","","2.0000","1.8949","","","","","",""
"4","11564800","33.1","Unknown","19.49","","","2.7500","","19.52","0.03","[19.44 , 19.60]","2.6862",""
"5","11564800","33.1","Unknown","19.55","","","2.6294","","","","","",""
"6","11564800","33.1","Unknown","19.52","","","2.6807","","","","","",""
"7","16768407","33.2","Unknown","19.20","","","3.3520","","19.26","0.10","[19.02 , 19.49]","3.2321",""
"8","16768407","33.2","Unknown","19.20","","","3.3661","","","","","",""
"9","16768407","33.2","Unknown","19.37","","","2.9923","","","","","",""
"10","12615680","33.3","Unknown","19.42","","","2.8851","","19.42","0.02","[19.35 , 19.48]","2.8926",""
"11","12615680","33.3","Unknown","19.44","","","2.8479","","","","","",""
"12","12615680","33.3","Unknown","19.39","","","2.9458","","","","","",""
"13","16765817","33.4","Unknown","20.14","","","1.7428","","20.17","0.04","[20.07 , 20.26]","1.7158",""
"14","16765817","33.4","Unknown","20.21","","","1.6637","","","","","",""
"15","16765817","33.4","Unknown","20.14","","","1.7420","","","","","",""
"16","12615680","33.5","Unknown","19.97","","","1.9605","","20.09","0.10","[19.84 , 20.34]","1.8073",""
"17","12615680","33.5","Unknown","20.14","","","1.7479","","","","","",""
"18","12615680","33.5","Unknown","20.16","","","1.7226","","","","","",""
"19","8421376","34.1","Unknown","20.52","","","1.3393","","20.51","0.02","[20.46 , 20.57]","1.3451",""
"20","8421376","34.1","Unknown","20.49","","","1.3694","","","","","",""
"21","8421376","34.1","Unknown","20.53","","","1.3270","","","","","",""
"22","9240518","34.2","Unknown","20.01","","","1.9109","","20.02","0.07","[19.84 , 20.20]","1.8990",""
"23","9240518","34.2","Unknown","20.10","","","1.7992","","","","","",""
"24","9240518","34.2","Unknown","19.95","","","1.9917","","","","","",""
"25","8421376","34.3","Unknown","20.47","","","1.3878","","20.49","0.02","[20.44 , 20.55]","1.3639",""
"26","8421376","34.3","Unknown","20.50","","","1.3555","","","","","",""
"27","8421376","34.3","Unknown","20.51","","","1.3486","","","","","",""
"28","10944422","34.4","Unknown","19.99","","","1.9352","","20.07","0.07","[19.89 , 20.25]","1.8384",""
"29","10944422","34.4","Unknown","20.14","","","1.7494","","","","","",""
"30","10944422","34.4","Unknown","20.07","","","1.8353","","","","","",""
"31","8421376","34.5","Unknown","19.09","","","3.6398","","19.13","0.11","[18.87 , 19.39]","3.5357",""
"32","8421376","34.5","Unknown","19.05","","","3.7347","","","","","",""
"33","8421376","34.5","Unknown","19.25","","","3.2515","","","","","",""
"34","8421631","36.1","Unknown","19.96","","","1.9776","","20.00","0.04","[19.90 , 20.09]","1.9309",""
"35","8421631","36.1","Unknown","20.04","","","1.8773","","","","","",""
"36","8421631","36.1","Unknown","19.99","","","1.9393","","","","","",""
"37","179","36.2","Unknown","20.26","","","1.6112","","20.28","0.02","[20.22 , 20.33]","1.5852",""
"38","179","36.2","Unknown","20.28","","","1.5827","","","","","",""
"39","179","36.2","Unknown","20.30","","","1.5621","","","","","",""
"40","8421631","36.3","Unknown","20.27","","","1.5947","","20.28","0.02","[20.24 , 20.32]","1.5824",""
"41","8421631","36.3","Unknown","20.27","","","1.5905","","","","","",""
"42","8421631","36.3","Unknown","20.30","","","1.5621","","","","","",""
"43","168","36.4","Unknown","20.78","","","1.1147","","20.83","0.07","[20.67 , 21.00]","1.0757",""
"44","168","36.4","Unknown","20.81","","","1.0943","","","","","",""
"45","168","36.4","Unknown","20.91","","","1.0204","","","","","",""
"46","8421631","36.5","Unknown","19.29","","","3.1515","","19.35","0.05","[19.22 , 19.49]","3.0201",""
"47","8421631","36.5","Unknown","19.38","","","2.9620","","","","","",""
"48","8421631","36.5","Unknown","19.39","","","2.9510","","","","","",""
"49","0","Ntc","NTC","","","","","","","","","",""
"50","0","Ntc","NTC","","","","","","","","","",""
"51","0","Ntc","NTC","","","","","","","","","",""



