"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Tub_SD_27_29_30_Run 2014-03-30 (1).rex"
"Date","2014/04/07"
"Time","11:46:58 AM"

"Operator","Rachelle"
"Run Id",""
"Notes","aTub
55 C
Standard curve
Sample 27, 29, 30"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7"
"Yellow","5"
"HRM","1.33333333333333"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.0372"
"Melt A.Green (Page 1)","0"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","2","Standard","16.86","","10.0000","9.4428","5.6%","16.89","0.03","[16.81 , 16.96]","9.2454","[5.7906 , 14.7613]"
"2","255","2","Standard","16.89","","10.0000","9.2296","7.7%","","","","",""
"3","255","2","Standard","16.91","","10.0000","9.0676","9.3%","","","","",""
"4","33023","3","Standard","18.96","","2.0000","2.1963","9.8%","18.89","0.07","[18.71 , 19.06]","2.3081","[1.6392 , 3.2499]"
"5","33023","3","Standard","18.88","","2.0000","2.3140","15.7%","","","","",""
"6","33023","3","Standard","18.82","","2.0000","2.4193","21.0%","","","","",""
"7","32768","4","Standard","21.47","","0.4000","0.3839","4.0%","21.49","0.04","[21.39 , 21.59]","0.3784","[0.2851 , 0.5021]"
"8","32768","4","Standard","21.47","","0.4000","0.3848","3.8%","","","","",""
"9","32768","4","Standard","21.54","","0.4000","0.3667","8.3%","","","","",""
"10","16744448","5","Standard","23.92","","0.0800","0.0699","12.6%","23.74","0.22","[23.20 , 24.27]","0.0796","[0.0551 , 0.1150]"
"11","16744448","5","Standard","23.79","","0.0800","0.0768","4.0%","","","","",""
"12","16744448","5","Standard","23.50","","0.0800","0.0939","17.4%","","","","",""
"13","8388736","6","Standard","26.36","","0.0160","0.0128","19.7%","26.06","0.43","","0.0159","[0.0094 , 0.0269]"
"14","8388736","6","Standard","25.75","","0.0160","0.0197","22.9%","","","","",""
"16","11564800","27.1","Unknown","18.60","","","2.8229","","18.62","0.04","[18.53 , 18.71]","2.7710","[1.3718 , 5.5971]"
"17","11564800","27.1","Unknown","18.66","","","2.6937","","","","","",""
"18","11564800","27.1","Unknown","18.61","","","2.7980","","","","","",""
"19","16768407","27.2","Unknown","18.97","","","2.1770","","19.13","0.32","[18.34 , 19.93]","1.9442","[0.9750 , 3.8769]"
"20","16768407","27.2","Unknown","18.93","","","2.2413","","","","","",""
"21","16768407","27.2","Unknown","19.50","","","1.5061","","","","","",""
"22","12615680","27.3","Unknown","19.63","","","1.3772","","19.65","0.03","[19.57 , 19.73]","1.3544","[0.6862 , 2.6734]"
"23","12615680","27.3","Unknown","19.64","","","1.3663","","","","","",""
"24","12615680","27.3","Unknown","19.69","","","1.3203","","","","","",""
"25","16765817","27.4","Unknown","19.63","","","1.3721","","19.57","0.06","[19.43 , 19.71]","1.4353","[0.7261 , 2.8371]"
"26","16765817","27.4","Unknown","19.53","","","1.4804","","","","","",""
"27","16765817","27.4","Unknown","19.55","","","1.4558","","","","","",""
"28","12615680","27.5","Unknown","19.65","","","1.3598","","19.68","0.04","[19.58 , 19.78]","1.3271","[0.6727 , 2.6181]"
"29","12615680","27.5","Unknown","19.67","","","1.3346","","","","","",""
"30","12615680","27.5","Unknown","19.73","","","1.2878","","","","","",""
"31","8421376","29.1","Unknown","18.85","","","2.3614","","18.87","0.10","[18.63 , 19.10]","2.3406","[1.1663 , 4.6973]"
"32","8421376","29.1","Unknown","18.78","","","2.4891","","","","","",""
"33","8421376","29.1","Unknown","18.97","","","2.1816","","","","","",""
"34","9240518","29.2","Unknown","18.82","","","2.4177","","18.83","0.01","[18.81 , 18.85]","2.4046","[1.1970 , 4.8305]"
"35","9240518","29.2","Unknown","18.83","","","2.4053","","","","","",""
"36","9240518","29.2","Unknown","18.83","","","2.3908","","","","","",""
"37","8421376","29.3","Unknown","18.72","","","2.5849","","18.77","0.10","[18.51 , 19.02]","2.5042","[1.2447 , 5.0384]"
"38","8421376","29.3","Unknown","18.70","","","2.6317","","","","","",""
"39","8421376","29.3","Unknown","18.89","","","2.3086","","","","","",""
"40","10944422","29.4","Unknown","19.47","","","1.5413","","18.97","0.43","[17.91 , 20.04]","2.1706","[1.0845 , 4.3444]"
"41","10944422","29.4","Unknown","18.78","","","2.4885","","","","","",""
"42","10944422","29.4","Unknown","18.68","","","2.6662","","","","","",""
"43","8421376","29.5","Unknown","19.03","","","2.0944","","19.36","0.29","[18.63 , 20.08]","1.6660","[0.8394 , 3.3064]"
"44","8421376","29.5","Unknown","19.46","","","1.5515","","","","","",""
