"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Tub_33_34_36_Run 2014-04-01 (1).rex"
"Date","2014/04/07"
"Time","11:59:03 AM"

"Operator","Rachelle"
"Run Id",""
"Notes","Tub
55 C
Sample 33, 34, 36"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7"
"Yellow","5"
"HRM","1.33333333333333"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.0372"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","33023","3","Standard","18.93","","2.0000","2.2785","","19.12","0.35","[18.26 , 19.98]","2.0000",""
"2","33023","3","Standard","18.91","","2.0000","2.3154","","","","","",""
"3","33023","3","Standard","19.52","","2.0000","1.5164","","","","","",""
"4","11564800","33.1","Unknown","18.79","","","2.5122","","18.87","0.07","[18.69 , 19.05]","2.3756",""
"5","11564800","33.1","Unknown","18.93","","","2.2748","","","","","",""
"6","11564800","33.1","Unknown","18.89","","","2.3458","","","","","",""
"7","16768407","33.2","Unknown","18.64","","","2.7815","","18.64","0.05","[18.51 , 18.77]","2.7828",""
"8","16768407","33.2","Unknown","18.59","","","2.8871","","","","","",""
"9","16768407","33.2","Unknown","18.69","","","2.6834","","","","","",""
"10","12615680","33.3","Unknown","18.93","","","2.2822","","18.94","0.01","[18.91 , 18.97]","2.2602",""
"11","12615680","33.3","Unknown","18.94","","","2.2579","","","","","",""
"12","12615680","33.3","Unknown","18.95","","","2.2406","","","","","",""
"13","16765817","33.4","Unknown","19.53","","","1.5014","","19.53","0.00","[19.51 , 19.54]","1.5069",""
"14","16765817","33.4","Unknown","19.52","","","1.5095","","","","","",""
"15","16765817","33.4","Unknown","19.52","","","1.5099","","","","","",""
"16","12615680","33.5","Unknown","19.07","","","2.0733","","19.05","0.05","[18.92 , 19.18]","2.0939",""
"17","12615680","33.5","Unknown","18.99","","","2.1798","","","","","",""
"18","12615680","33.5","Unknown","19.10","","","2.0312","","","","","",""
"19","8421376","34.1","Unknown","19.87","","","1.1888","","19.84","0.03","[19.78 , 19.90]","1.2113",""
"20","8421376","34.1","Unknown","19.84","","","1.2140","","","","","",""
"21","8421376","34.1","Unknown","19.82","","","1.2317","","","","","",""
"22","9240518","34.2","Unknown","19.59","","","1.4384","","19.62","0.02","[19.56 , 19.67]","1.4144",""
"23","9240518","34.2","Unknown","19.63","","","1.4043","","","","","",""
"24","9240518","34.2","Unknown","19.63","","","1.4007","","","","","",""
"25","8421376","34.3","Unknown","19.84","","","1.2097","","19.75","0.11","[19.48 , 20.02]","1.2912",""
"26","8421376","34.3","Unknown","19.77","","","1.2689","","","","","",""
"27","8421376","34.3","Unknown","19.63","","","1.4023","","","","","",""
"28","10944422","34.4","Unknown","18.95","","","2.2505","","18.90","0.04","[18.80 , 19.01]","2.3214",""
"29","10944422","34.4","Unknown","18.90","","","2.3328","","","","","",""
"30","10944422","34.4","Unknown","18.87","","","2.3828","","","","","",""
"31","8421376","34.5","Unknown","18.57","","","2.9278","","18.63","0.05","[18.49 , 18.76]","2.8130",""
"32","8421376","34.5","Unknown","18.63","","","2.8003","","","","","",""
"33","8421376","34.5","Unknown","18.68","","","2.7149","","","","","",""
"34","8421631","36.1","Unknown","18.99","","","2.1926","","19.28","0.26","[18.64 , 19.93]","1.7832",""
"35","8421631","36.1","Unknown","19.46","","","1.5727","","","","","",""
"36","8421631","36.1","Unknown","19.40","","","1.6443","","","","","",""
"37","179","36.2","Unknown","19.52","","","1.5123","","19.55","0.02","[19.49 , 19.60]","1.4850",""
"38","179","36.2","Unknown","19.56","","","1.4716","","","","","",""
"39","179","36.2","Unknown","19.56","","","1.4713","","","","","",""
"40","8421631","36.3","Unknown","19.46","","","1.5791","","19.50","0.04","[19.40 , 19.60]","1.5293",""
"41","8421631","36.3","Unknown","19.53","","","1.5016","","","","","",""
"42","8421631","36.3","Unknown","19.52","","","1.5084","","","","","",""
"43","168","36.4","Unknown","19.69","","","1.3463","","19.70","0.07","[19.54 , 19.86]","1.3359",""
"44","168","36.4","Unknown","19.64","","","1.3923","","","","","",""
"45","168","36.4","Unknown","19.77","","","1.2719","","","","","",""
"46","8421631","36.5","Unknown","18.13","","","3.9563","","18.45","0.28","[17.76 , 19.13]","3.1818",""
"47","8421631","36.5","Unknown","18.65","","","2.7608","","","","","",""
"48","8421631","36.5","Unknown","18.56","","","2.9490","","","","","",""
"49","0","Ntc","NTC","","","","","","","","","",""
"50","0","Ntc","NTC","","","","","","","","","",""
"51","0","Ntc","NTC","","","","","","","","","",""



