"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","ORF1a Standard Curve number 2_15 Sep 2014.rex"
"Date","2014/09/18"
"Time","07:37:51 AM"

"Operator","Dirk"
"Run Id",""
"Notes","ORF1a
53 C
Standard curve # 2
15 Sep 2014"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7.33333333333333"
"Yellow","5"
"HRM","2.66666666666667"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Melt A.Green (Page 1)","0"
"Cycling A.Green (Page 1)","0.619599999999993"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","1/5 Dilution","Standard","23.73","","10.0000","10.3406","3.4%","23.74","0.04","[23.65 , 23.83]","10.2628","[6.2898 , 16.7456]"
"2","255","1/5 Dilution","Standard","23.78","","10.0000","9.9918","0.1%","","","","",""
"3","255","1/5 Dilution","Standard","23.71","","10.0000","10.4619","4.6%","","","","",""
"4","33023","1/25 Dilution","Standard","26.10","","2.0000","2.0969","4.8%","26.11","0.02","[26.06 , 26.15]","2.0807","[1.4775 , 2.9302]"
"5","33023","1/25 Dilution","Standard","26.10","","2.0000","2.0956","4.8%","","","","",""
"6","33023","1/25 Dilution","Standard","26.13","","2.0000","2.0499","2.5%","","","","",""
"7","32768","1/125 Dilution","Standard","28.65","","0.4000","0.3731","6.7%","28.75","0.10","[28.51 , 28.99]","0.3498","[0.2615 , 0.4679]"
"8","32768","1/125 Dilution","Standard","28.75","","0.4000","0.3502","12.4%","","","","",""
"9","32768","1/125 Dilution","Standard","28.85","","0.4000","0.3275","18.1%","","","","",""
"10","16744448","1/625 Dilution","Standard","31.00","","0.0800","0.0768","4.0%","30.87","0.25","[30.25 , 31.49]","0.0838","[0.0578 , 0.1214]"
"11","16744448","1/625 Dilution","Standard","30.58","","0.0800","0.1017","27.2%","","","","",""
"12","16744448","1/625 Dilution","Standard","31.03","","0.0800","0.0752","6.0%","","","","",""
"14","8388736","1/3125 Dilution","Standard","33.61","","0.0160","0.0131","17.9%","33.27","0.48","","0.0166","[0.0097 , 0.0282]"
"15","8388736","1/3125 Dilution","Standard","32.93","","0.0160","0.0209","30.3%","","","","",""
"16","11564800","Ntc","NTC","","","","","","","","","",""
"17","11564800","Ntc","NTC","","","","","","","","","",""
"18","11564800","Ntc","NTC","","","","","","","","","",""



