"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","ORF1a Quantification_12 Sep 2014.rex"
"Date","2014/09/18"
"Time","07:39:29 AM"

"Operator","Dirk"
"Run Id",""
"Notes","ORF1a
53 C
Quantification
ORF1a"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7.66666666666667"
"Yellow","5"
"HRM","2.66666666666667"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.619599999999993"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","1/25 Dilution","Standard","26.02","","2.0000","1.9896","","26.01","0.01","[25.99 , 26.03]","2.0000",""
"2","255","1/25 Dilution","Standard","26.01","","2.0000","2.0116","","","","","",""
"3","255","1/25 Dilution","Standard","26.01","","2.0000","1.9988","","","","","",""
"4","33023","Cab H1","Unknown","","","","","","","","","",""
"5","33023","Cab H1","Unknown","","","","","","","","","",""
"6","33023","Cab H1","Unknown","","","","","","","","","",""
"7","32768","Cab H2","Unknown","40.54","","","0.0001","","40.54","","","0.0001",""
"8","32768","Cab H2","Unknown","","","","","","","","","",""
"9","32768","Cab H2","Unknown","","","","","","","","","",""
"10","16744448","Cab H3","Unknown","","","","","","","","","",""
"11","16744448","Cab H3","Unknown","","","","","","","","","",""
"12","16744448","Cab H3","Unknown","","","","","","","","","",""
"13","8388736","Cab H5","Unknown","","","","","","","","","",""
"14","8388736","Cab H5","Unknown","","","","","","","","","",""
"15","8388736","Cab H5","Unknown","","","","","","","","","",""
"16","11564800","Gh 27","Unknown","26.41","","","1.5267","","26.47","0.05","[26.34 , 26.60]","1.4705",""
"17","11564800","Gh 27","Unknown","26.52","","","1.4230","","","","","",""
"18","11564800","Gh 27","Unknown","26.48","","","1.4634","","","","","",""
"19","16744576","Gh 29","Unknown","26.50","","","1.4450","","26.38","0.15","[26.01 , 26.76]","1.5575",""
"20","16744576","Gh 29","Unknown","26.45","","","1.4950","","","","","",""
"21","16744576","Gh 29","Unknown","26.21","","","1.7491","","","","","",""
"22","12615935","Gh 30","Unknown","26.52","","","1.4194","","26.55","0.03","[26.46 , 26.63]","1.3975",""
"23","12615935","Gh 30","Unknown","26.58","","","1.3631","","","","","",""
"24","12615935","Gh 30","Unknown","26.53","","","1.4106","","","","","",""
"25","6935040","Gh 33","Unknown","24.48","","","5.6220","","24.57","0.17","[24.16 , 24.98]","5.2967",""
"26","6935040","Gh 33","Unknown","24.47","","","5.6799","","","","","",""
"27","6935040","Gh 33","Unknown","24.76","","","4.6537","","","","","",""
"28","196","Gh 46","Unknown","25.97","","","2.0639","","26.01","0.09","[25.79 , 26.22]","2.0105",""
"29","196","Gh 46","Unknown","25.95","","","2.0938","","","","","",""
"30","196","Gh 46","Unknown","26.10","","","1.8806","","","","","",""
"31","4227072","Pl 20.1","Unknown","26.10","","","1.8834","","26.17","0.12","[25.89 , 26.46]","1.7956",""
"32","4227072","Pl 20.1","Unknown","26.11","","","1.8737","","","","","",""
"33","4227072","Pl 20.1","Unknown","26.31","","","1.6405","","","","","",""
"34","13959168","Pl 20.2","Unknown","27.51","","","0.7284","","27.33","0.17","[26.90 , 27.75]","0.8256",""
"35","13959168","Pl 20.2","Unknown","27.18","","","0.9120","","","","","",""
"36","13959168","Pl 20.2","Unknown","27.29","","","0.8470","","","","","",""
"37","54741","Pl 20.3","Unknown","27.09","","","0.9703","","27.02","0.13","[26.70 , 27.34]","1.0151",""
"38","54741","Pl 20.3","Unknown","27.10","","","0.9615","","","","","",""
"39","54741","Pl 20.3","Unknown","26.87","","","1.1210","","","","","",""
"40","10395294","Gh 2","Unknown","26.05","","","1.9527","","26.00","0.09","[25.79 , 26.22]","2.0177",""
"41","10395294","Gh 2","Unknown","26.05","","","1.9492","","","","","",""
"42","10395294","Gh 2","Unknown","25.90","","","2.1581","","","","","",""
"43","22963","Gh 16","Unknown","26.01","","","2.0074","","26.12","0.11","[25.85 , 26.38]","1.8660",""
"44","22963","Gh 16","Unknown","26.12","","","1.8603","","","","","",""
"45","22963","Gh 16","Unknown","26.22","","","1.7399","","","","","",""
"46","14145280","Gh 34","Unknown","24.41","","","5.8809","","24.37","0.05","[24.25 , 24.48]","6.0678",""
"47","14145280","Gh 34","Unknown","24.37","","","6.0700","","","","","",""
"48","14145280","Gh 34","Unknown","24.32","","","6.2584","","","","","",""
"49","5963959","Gh 41","Unknown","25.94","","","2.0995","","25.97","0.04","[25.88 , 26.07]","2.0563",""
"50","5963959","Gh 41","Unknown","25.96","","","2.0715","","","","","",""
"51","5963959","Gh 41","Unknown","26.01","","","1.9991","","","","","",""
"52","986895","Ntc","NTC","","","","","","","","","",""
"53","986895","Ntc","NTC","","","","","","","","","",""
"54","986895","Ntc","NTC","","","","","","","","","",""



