"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Actin Standard Curve_11 Sep 2014.rex"
"Date","2014/09/18"
"Time","07:47:27 AM"

"Operator","Dirk"
"Run Id",""
"Notes","Actin
53 C
Standard curve"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7.33333333333333"
"Yellow","5"
"HRM","1.33333333333333"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.2688"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","1/5 Dilution","Standard","22.67","","10.0000","8.1929","18.1%","22.44","0.21","[21.93 , 22.96]","9.6847","[7.0679 , 13.2704]"
"2","255","1/5 Dilution","Standard","22.38","","10.0000","10.1173","1.2%","","","","",""
"3","255","1/5 Dilution","Standard","22.27","","10.0000","10.9586","9.6%","","","","",""
"4","33023","1/25 Dilution","Standard","24.66","","2.0000","1.9521","2.4%","24.55","0.09","[24.33 , 24.78]","2.1052","[1.6834 , 2.6328]"
"5","33023","1/25 Dilution","Standard","24.49","","2.0000","2.1945","9.7%","","","","",""
"6","33023","1/25 Dilution","Standard","24.50","","2.0000","2.1781","8.9%","","","","",""
"7","32768","1/125 Dilution","Standard","26.78","","0.4000","0.4188","4.7%","26.83","0.05","[26.72 , 26.95]","0.4037","[0.3345 , 0.4872]"
"8","32768","1/125 Dilution","Standard","26.87","","0.4000","0.3924","1.9%","","","","",""
"9","32768","1/125 Dilution","Standard","26.84","","0.4000","0.4004","0.1%","","","","",""
"10","16744448","1/625 Dilution","Standard","29.09","","0.0800","0.0785","1.8%","29.13","0.13","[28.80 , 29.46]","0.0765","[0.0598 , 0.0980]"
"11","16744448","1/625 Dilution","Standard","29.02","","0.0800","0.0830","3.8%","","","","",""
"12","16744448","1/625 Dilution","Standard","29.28","","0.0800","0.0688","14.0%","","","","",""
"13","8388736","1/3125 Dilution","Standard","31.16","","0.0160","0.0176","10.0%","31.26","0.14","","0.0164","[0.0116 , 0.0232]"
"15","8388736","1/3125 Dilution","Standard","31.36","","0.0160","0.0153","4.7%","","","","",""
"16","11564800","Ntc","NTC","32.46","","","0.0069","","30.72","2.46","","0.0242","[0.0134 , 0.0436]"
"17","11564800","Ntc","NTC","","","","","","","","","",""
"18","11564800","Ntc","NTC","28.98","","","0.0854","","","","","",""



