"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Actin Quantification_12 Sep 2014.rex"
"Date","2014/09/18"
"Time","07:48:42 AM"

"Operator","Dirk"
"Run Id",""
"Notes","Actin
53 C
Quantification
Actin"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7.66666666666667"
"Yellow","5"
"HRM","2.66666666666667"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.2688"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","1/25 Dilution","Standard","24.03","","2.0000","1.9140","","23.97","0.07","[23.79 , 24.16]","2.0000",""
"2","255","1/25 Dilution","Standard","23.99","","2.0000","1.9684","","","","","",""
"3","255","1/25 Dilution","Standard","23.89","","2.0000","2.1234","","","","","",""
"4","33023","Cab H1","Unknown","24.56","","","1.3064","","24.39","0.21","[23.87 , 24.92]","1.4748",""
"5","33023","Cab H1","Unknown","24.15","","","1.7511","","","","","",""
"6","33023","Cab H1","Unknown","24.46","","","1.4021","","","","","",""
"7","32768","Cab H2","Unknown","23.91","","","2.0877","","23.94","0.05","[23.82 , 24.07]","2.0435",""
"8","32768","Cab H2","Unknown","24.00","","","1.9591","","","","","",""
"9","32768","Cab H2","Unknown","23.91","","","2.0864","","","","","",""
"10","16744448","Cab H3","Unknown","24.13","","","1.7802","","24.12","0.02","[24.07 , 24.18]","1.7913",""
"11","16744448","Cab H3","Unknown","24.10","","","1.8229","","","","","",""
"12","16744448","Cab H3","Unknown","24.14","","","1.7713","","","","","",""
"13","8388736","Cab H5","Unknown","23.58","","","2.6610","","23.55","0.08","[23.36 , 23.75]","2.7106",""
"14","8388736","Cab H5","Unknown","23.61","","","2.5909","","","","","",""
"15","8388736","Cab H5","Unknown","23.46","","","2.8888","","","","","",""
"16","11564800","Gh 27","Unknown","23.23","","","3.4319","","23.15","0.09","[22.93 , 23.37]","3.6184",""
"17","11564800","Gh 27","Unknown","23.05","","","3.8874","","","","","",""
"18","11564800","Gh 27","Unknown","23.18","","","3.5511","","","","","",""
"19","16744576","Gh 29","Unknown","23.21","","","3.4755","","23.18","0.07","[23.01 , 23.36]","3.5374",""
"20","16744576","Gh 29","Unknown","23.10","","","3.7448","","","","","",""
"21","16744576","Gh 29","Unknown","23.24","","","3.4010","","","","","",""
"22","12615935","Gh 30","Unknown","23.76","","","2.3229","","23.65","0.10","[23.42 , 23.89]","2.5149",""
"23","12615935","Gh 30","Unknown","23.61","","","2.6045","","","","","",""
"24","12615935","Gh 30","Unknown","23.59","","","2.6292","","","","","",""
"25","6935040","Gh 33","Unknown","23.49","","","2.8290","","23.52","0.04","[23.42 , 23.62]","2.7646",""
"26","6935040","Gh 33","Unknown","23.57","","","2.6757","","","","","",""
"27","6935040","Gh 33","Unknown","23.51","","","2.7913","","","","","",""
"28","196","Gh 46","Unknown","24.04","","","1.8970","","23.97","0.06","[23.82 , 24.13]","1.9962",""
"29","196","Gh 46","Unknown","23.92","","","2.0715","","","","","",""
"30","196","Gh 46","Unknown","23.95","","","2.0242","","","","","",""
"31","4227072","Pl 20.1","Unknown","23.79","","","2.2730","","23.88","0.11","[23.62 , 24.15]","2.1307",""
"32","4227072","Pl 20.1","Unknown","23.85","","","2.1760","","","","","",""
"33","4227072","Pl 20.1","Unknown","24.00","","","1.9557","","","","","",""
"34","13959168","Pl 20.2","Unknown","24.13","","","1.7802","","24.09","0.03","[24.01 , 24.18]","1.8291",""
"35","13959168","Pl 20.2","Unknown","24.06","","","1.8691","","","","","",""
"36","13959168","Pl 20.2","Unknown","24.09","","","1.8392","","","","","",""
"37","54741","Pl 20.3","Unknown","23.88","","","2.1322","","23.84","0.03","[23.76 , 23.93]","2.1914",""
"38","54741","Pl 20.3","Unknown","23.83","","","2.2214","","","","","",""
"39","54741","Pl 20.3","Unknown","23.83","","","2.2218","","","","","",""
"40","10395294","Gh 2","Unknown","23.88","","","2.1296","","23.87","0.05","[23.73 , 24.00]","2.1545",""
"41","10395294","Gh 2","Unknown","23.91","","","2.0858","","","","","",""
"42","10395294","Gh 2","Unknown","23.81","","","2.2517","","","","","",""
"43","22963","Gh 16","Unknown","23.86","","","2.1745","","23.80","0.09","[23.59 , 24.02]","2.2580",""
"44","22963","Gh 16","Unknown","23.85","","","2.1823","","","","","",""
"45","22963","Gh 16","Unknown","23.70","","","2.4260","","","","","",""
"46","14145280","Gh 34","Unknown","23.39","","","3.0555","","23.38","0.11","[23.11 , 23.64]","3.0744",""
"47","14145280","Gh 34","Unknown","23.48","","","2.8539","","","","","",""
"48","14145280","Gh 34","Unknown","23.27","","","3.3324","","","","","",""
"49","5963959","Gh 41","Unknown","24.24","","","1.6507","","24.11","0.12","[23.82 , 24.39]","1.8136",""
"50","5963959","Gh 41","Unknown","24.07","","","1.8648","","","","","",""
"51","5963959","Gh 41","Unknown","24.01","","","1.9379","","","","","",""
"52","986895","Ntc","NTC","25.68","","","0.5809","","25.31","0.52","","0.7567",""
"53","986895","Ntc","NTC","24.95","","","0.9859","","","","","",""
"54","986895","Ntc","NTC","","","","","","","","","",""



