"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","GAPDH Standard Curve_11 Sep 2014.rex"
"Date","2014/09/18"
"Time","07:41:01 AM"

"Operator","Dirk"
"Run Id",""
"Notes","GAPDH
53 C
Standard curve"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7.33333333333333"
"Yellow","5"
"HRM","1.33333333333333"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.159600000000001"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","1/5 Dilution","Standard","21.10","","10.0000","10.3301","3.3%","21.31","0.18","[20.86 , 21.77]","8.9658","[4.9951 , 16.0929]"
"2","255","1/5 Dilution","Standard","21.39","","10.0000","8.5273","14.7%","","","","",""
"3","255","1/5 Dilution","Standard","21.45","","10.0000","8.1819","18.2%","","","","",""
"4","33023","1/25 Dilution","Standard","23.18","","2.0000","2.5236","26.2%","23.38","0.18","[22.93 , 23.83]","2.1997","[1.4286 , 3.3870]"
"5","33023","1/25 Dilution","Standard","23.44","","2.0000","2.1186","5.9%","","","","",""
"6","33023","1/25 Dilution","Standard","23.53","","2.0000","1.9907","0.5%","","","","",""
"7","32768","1/125 Dilution","Standard","25.81","","0.4000","0.4233","5.8%","25.84","0.03","[25.77 , 25.91]","0.4148","[0.2936 , 0.5860]"
"8","32768","1/125 Dilution","Standard","25.87","","0.4000","0.4076","1.9%","","","","",""
"9","32768","1/125 Dilution","Standard","25.85","","0.4000","0.4138","3.4%","","","","",""
"10","16744448","1/625 Dilution","Standard","28.41","","0.0800","0.0727","9.2%","28.15","0.35","[27.28 , 29.02]","0.0865","[0.0571 , 0.1312]"
"11","16744448","1/625 Dilution","Standard","28.30","","0.0800","0.0786","1.8%","","","","",""
"12","16744448","1/625 Dilution","Standard","27.75","","0.0800","0.1135","41.9%","","","","",""
"13","8388736","1/3125 Dilution","Standard","30.64","","0.0160","0.0160","0.2%","30.79","0.32","[30.00 , 31.58]","0.0145","[0.0079 , 0.0266]"
"14","8388736","1/3125 Dilution","Standard","30.57","","0.0160","0.0168","4.8%","","","","",""
"15","8388736","1/3125 Dilution","Standard","31.15","","0.0160","0.0113","29.4%","","","","",""
"16","11564800","Ntc","NTC","30.27","","","0.0205","","31.60","1.34","[28.27 , 34.93]","0.0084","[0.0030 , 0.0234]"
"17","11564800","Ntc","NTC","31.56","","","0.0085","","","","","",""
"18","11564800","Ntc","NTC","32.95","","","0.0033","","","","","",""



