"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","GAPDH Quantification_12 Sep 2014.rex"
"Date","2014/09/15"
"Time","02:16:47 PM"

"Operator","Dirk"
"Run Id",""
"Notes","GAPDH
53 C
Quantification
GAPDH"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7.33333333333333"
"Yellow","5"
"HRM","2.66666666666667"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.159600000000001"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","1/25 Dilution","Standard","23.25","","2.0000","1.9248","","23.19","0.06","[23.05 , 23.34]","2.0000",""
"2","255","1/25 Dilution","Standard","23.14","","2.0000","2.0785","","","","","",""
"3","255","1/25 Dilution","Standard","23.20","","2.0000","1.9996","","","","","",""
"4","33023","Cab H1","Unknown","23.96","","","1.1909","","23.88","0.11","","1.2544",""
"5","33023","Cab H1","Unknown","23.81","","","1.3213","","","","","",""
"6","33023","Cab H1","Unknown","","","","","","","","","",""
"7","32768","Cab H2","Unknown","23.13","","","2.0847","","23.61","0.44","[22.53 , 24.70]","1.5052",""
"8","32768","Cab H2","Unknown","23.99","","","1.1690","","","","","",""
"9","32768","Cab H2","Unknown","23.72","","","1.3992","","","","","",""
"10","16744448","Cab H3","Unknown","24.28","","","0.9587","","24.22","0.06","[24.07 , 24.37]","1.0005",""
"11","16744448","Cab H3","Unknown","24.21","","","1.0039","","","","","",""
"12","16744448","Cab H3","Unknown","24.16","","","1.0405","","","","","",""
"13","8388736","Cab H5","Unknown","23.26","","","1.9087","","23.31","0.05","[23.19 , 23.43]","1.8487",""
"14","8388736","Cab H5","Unknown","23.31","","","1.8531","","","","","",""
"15","8388736","Cab H5","Unknown","23.36","","","1.7865","","","","","",""
"16","11564800","Gh 27","Unknown","21.47","","","6.4565","","21.51","0.04","[21.42 , 21.60]","6.2704",""
"17","11564800","Gh 27","Unknown","21.53","","","6.1771","","","","","",""
"18","11564800","Gh 27","Unknown","21.53","","","6.1816","","","","","",""
"19","16744576","Gh 29","Unknown","22.99","","","2.2944","","22.97","0.13","[22.63 , 23.30]","2.3363",""
"20","16744576","Gh 29","Unknown","23.08","","","2.1552","","","","","",""
"21","16744576","Gh 29","Unknown","22.82","","","2.5789","","","","","",""
"22","12615935","Gh 30","Unknown","21.99","","","4.5339","","21.97","0.03","[21.90 , 22.04]","4.5881",""
"23","12615935","Gh 30","Unknown","21.94","","","4.6845","","","","","",""
"24","12615935","Gh 30","Unknown","21.98","","","4.5473","","","","","",""
"25","6935040","Gh 33","Unknown","23.17","","","2.0336","","23.18","0.04","[23.07 , 23.28]","2.0249",""
"26","6935040","Gh 33","Unknown","23.22","","","1.9655","","","","","",""
"27","6935040","Gh 33","Unknown","23.14","","","2.0773","","","","","",""
"28","196","Gh 46","Unknown","22.93","","","2.4004","","22.86","0.06","[22.72 , 23.01]","2.5050",""
"29","196","Gh 46","Unknown","22.85","","","2.5216","","","","","",""
"30","196","Gh 46","Unknown","22.81","","","2.5970","","","","","",""
"31","4227072","Pl 20.1","Unknown","23.30","","","1.8583","","23.25","0.06","[23.11 , 23.39]","1.9300",""
"32","4227072","Pl 20.1","Unknown","23.19","","","2.0047","","","","","",""
"33","4227072","Pl 20.1","Unknown","23.25","","","1.9299","","","","","",""
"34","13959168","Pl 20.2","Unknown","24.33","","","0.9249","","24.39","0.06","[24.24 , 24.54]","0.8890",""
"35","13959168","Pl 20.2","Unknown","24.45","","","0.8533","","","","","",""
"36","13959168","Pl 20.2","Unknown","24.39","","","0.8903","","","","","",""
"37","54741","Pl 20.3","Unknown","23.97","","","1.1800","","24.00","0.03","[23.93 , 24.06]","1.1601",""
"38","54741","Pl 20.3","Unknown","23.99","","","1.1622","","","","","",""
"39","54741","Pl 20.3","Unknown","24.03","","","1.1385","","","","","",""
"40","10395294","Gh 2","Unknown","24.11","","","1.0777","","24.03","0.09","[23.81 , 24.25]","1.1332",""
"41","10395294","Gh 2","Unknown","24.06","","","1.1138","","","","","",""
"42","10395294","Gh 2","Unknown","23.93","","","1.2122","","","","","",""
"43","22963","Gh 16","Unknown","24.59","","","0.7769","","24.57","0.02","[24.51 , 24.62]","0.7872",""
"44","22963","Gh 16","Unknown","24.57","","","0.7849","","","","","",""
"45","22963","Gh 16","Unknown","24.55","","","0.7999","","","","","",""
"46","14145280","Gh 34","Unknown","23.25","","","1.9226","","22.76","0.60","[21.28 , 24.24]","2.6816",""
"47","14145280","Gh 34","Unknown","22.94","","","2.3835","","","","","",""
"48","14145280","Gh 34","Unknown","22.10","","","4.2082","","","","","",""
"49","5963959","Gh 41","Unknown","25.01","","","0.5848","","24.84","0.28","[24.15 , 25.54]","0.6533",""
"50","5963959","Gh 41","Unknown","24.52","","","0.8132","","","","","",""
"51","5963959","Gh 41","Unknown","25.00","","","0.5863","","","","","",""
"52","986895","Ntc","NTC","","","","","","","","","",""
"53","986895","Ntc","NTC","27.21","","","0.1311","","","","","",""
"54","986895","Ntc","NTC","","","","","","","","","",""



