"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","a-Tubulin Quantification_12 Sep 2014.rex"
"Date","2014/09/15"
"Time","02:18:27 PM"

"Operator","Dirk"
"Run Id",""
"Notes","a-Tubulin
53 C
Quantification
a-Tubulin"
"Machine Serial No","030883"

"Channel","Gain"
"Green","7.66666666666667"
"Yellow","5"
"HRM","2.66666666666667"
"Orange","7"
"Red","7"
"Crimson","7"

"Channel","Threshold"
"Cycling A.Green (Page 1)","0.0997999999999997"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (ng/ul)","Calc Conc (ng/ul)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","255","1/25 Dilution","Standard","24.21","","2.0000","1.6070","","23.88","0.32","[23.10 , 24.66]","2.0000",""
"2","255","1/25 Dilution","Standard","23.84","","2.0000","2.0509","","","","","",""
"3","255","1/25 Dilution","Standard","23.58","","2.0000","2.4273","","","","","",""
"4","33023","Cab H1","Unknown","25.25","","","0.8123","","25.04","0.23","[24.47 , 25.62]","0.9303",""
"5","33023","Cab H1","Unknown","25.09","","","0.9048","","","","","",""
"6","33023","Cab H1","Unknown","24.79","","","1.0954","","","","","",""
"7","32768","Cab H2","Unknown","24.60","","","1.2460","","24.66","0.07","[24.49 , 24.82]","1.1981",""
"8","32768","Cab H2","Unknown","24.65","","","1.2068","","","","","",""
"9","32768","Cab H2","Unknown","24.73","","","1.1436","","","","","",""
"10","16744448","Cab H3","Unknown","25.10","","","0.8953","","24.80","0.28","[24.11 , 25.49]","1.0926",""
"11","16744448","Cab H3","Unknown","24.74","","","1.1338","","","","","",""
"12","16744448","Cab H3","Unknown","24.55","","","1.2848","","","","","",""
"13","8388736","Cab H5","Unknown","23.86","","","2.0296","","23.80","0.07","[23.62 , 23.97]","2.1112",""
"14","8388736","Cab H5","Unknown","23.81","","","2.0870","","","","","",""
"15","8388736","Cab H5","Unknown","23.72","","","2.2217","","","","","",""
"16","11564800","Gh 27","Unknown","23.25","","","3.0148","","23.06","0.23","[22.50 , 23.62]","3.4289",""
"17","11564800","Gh 27","Unknown","22.81","","","4.0359","","","","","",""
"18","11564800","Gh 27","Unknown","23.11","","","3.3134","","","","","",""
"19","16744576","Gh 29","Unknown","23.53","","","2.5164","","23.46","0.07","[23.29 , 23.63]","2.6330",""
"20","16744576","Gh 29","Unknown","23.39","","","2.7532","","","","","",""
"21","16744576","Gh 29","Unknown","23.46","","","2.6346","","","","","",""
"22","12615935","Gh 30","Unknown","23.12","","","3.2966","","23.32","0.25","[22.71 , 23.93]","2.8938",""
"23","12615935","Gh 30","Unknown","23.24","","","3.0436","","","","","",""
"24","12615935","Gh 30","Unknown","23.59","","","2.4152","","","","","",""
"25","6935040","Gh 33","Unknown","23.47","","","2.6086","","23.60","0.11","[23.32 , 23.89]","2.3968",""
"26","6935040","Gh 33","Unknown","23.64","","","2.3382","","","","","",""
"27","6935040","Gh 33","Unknown","23.69","","","2.2576","","","","","",""
"28","196","Gh 46","Unknown","24.70","","","1.1682","","24.58","0.20","[24.09 , 25.06]","1.2654",""
"29","196","Gh 46","Unknown","24.35","","","1.4680","","","","","",""
"30","196","Gh 46","Unknown","24.68","","","1.1815","","","","","",""
"31","4227072","Pl 20.1","Unknown","23.62","","","2.3688","","23.54","0.08","[23.33 , 23.74]","2.5038",""
"32","4227072","Pl 20.1","Unknown","23.53","","","2.5117","","","","","",""
"33","4227072","Pl 20.1","Unknown","23.46","","","2.6381","","","","","",""
"34","13959168","Pl 20.2","Unknown","24.81","","","1.0860","","24.88","0.13","[24.56 , 25.21]","1.0326",""
"35","13959168","Pl 20.2","Unknown","24.81","","","1.0848","","","","","",""
"36","13959168","Pl 20.2","Unknown","25.04","","","0.9345","","","","","",""
"37","54741","Pl 20.3","Unknown","23.74","","","2.1978","","24.07","0.30","[23.33 , 24.81]","1.7615",""
"38","54741","Pl 20.3","Unknown","24.30","","","1.5148","","","","","",""
"39","54741","Pl 20.3","Unknown","24.18","","","1.6418","","","","","",""
"40","10395294","Gh 2","Unknown","24.67","","","1.1858","","24.51","0.15","[24.15 , 24.87]","1.3205",""
"41","10395294","Gh 2","Unknown","24.40","","","1.4229","","","","","",""
"42","10395294","Gh 2","Unknown","24.46","","","1.3648","","","","","",""
"43","22963","Gh 16","Unknown","24.69","","","1.1706","","24.61","0.07","[24.43 , 24.79]","1.2359",""
"44","22963","Gh 16","Unknown","24.55","","","1.2854","","","","","",""
"45","22963","Gh 16","Unknown","24.59","","","1.2545","","","","","",""
"46","14145280","Gh 34","Unknown","23.33","","","2.8619","","23.48","0.14","[23.14 , 23.82]","2.5953",""
"47","14145280","Gh 34","Unknown","23.61","","","2.3936","","","","","",""
"48","14145280","Gh 34","Unknown","23.51","","","2.5519","","","","","",""
"49","5963959","Gh 41","Unknown","24.83","","","1.0703","","24.82","0.24","[24.23 , 25.42]","1.0754",""
"50","5963959","Gh 41","Unknown","24.58","","","1.2615","","","","","",""
"51","5963959","Gh 41","Unknown","25.06","","","0.9212","","","","","",""
"52","986895","Ntc","NTC","","","","","","","","","",""
"53","986895","Ntc","NTC","","","","","","","","","",""
"54","986895","Ntc","NTC","","","","","","","","","",""



