Sample_name,GOI,Ref1,Ref2,Ref3
27.1,21.46,16.51,18.6,19.18
27.1,21.33,16.56,18.66,19.39
27.1,21.54,16.49,18.61,19.35
27.2,19.82,16.38,18.97,19.88
27.2,19.83,16.44,18.93,19.92
27.2,19.86,16.48,19.5,19.85
27.3,19.32,16.53,19.63,20.13
27.3,19.53,16.9,19.64,20.23
27.3,19.52,16.99,19.69,20.2
27.4,18.9,16.94,19.63,20.16
27.4,18.81,16.96,19.53,20.14
27.4,18.84,17.06,19.55,20.3
27.5,19.54,17.2,19.65,19.98
27.5,19.67,17.3,19.67,20.03
27.5,19.64,17.33,19.73,20.1
29.1,21.57,17.01,18.85,19.66
29.1,21.52,16.96,18.78,19.71
29.1,21.56,17.02,18.97,19.88
29.2,20.77,16.9,18.82,19.52
29.2,20.74,16.98,18.83,19.46
29.2,20.78,17.01,18.83,19.5
29.3,21.49,16.4,18.72,19.46
29.3,21.48,16.45,18.7,19.36
29.3,21.45,16.44,18.89,19.33
29.4,20.95,16.14,19.47,19.04
29.4,21.08,16.35,18.78,19.1
29.4,21.12,16.53,18.68,19.1
29.5,19.82,16.94,19.03,20.01
29.5,19.77,17.01,19.46,19.86
29.5,19.87,17.13,19.58,19.99
30.1,21.84,16.93,19.04,19.41
30.1,21.81,16.98,19.08,19.51
30.1,21.83,17.13,18.92,19.39
30.2,21.75,16.71,18.95,19.53
30.2,21.79,17.12,18.91,19.5
30.2,21.93,17.2,18.94,19.77
30.3,20.55,16.64,19.5,19.74
30.3,20.7,17.15,19.66,19.89
30.3,20.64,17.16,19.67,19.76
30.4,19.88,17.36,19.72,20.4
30.4,19.83,17.44,19.7,20.46
30.4,19.9,17.37,19.66,20.43
30.5,20.71,18.19,20.67,21.33
30.5,20.67,18.56,20.74,21.33
30.5,20.78,18.2,20.73,21.36
33.1,20.63,16.75,18.79,19.49
33.1,20.71,17.04,18.93,19.55
33.1,20.38,17.2,18.89,19.52
33.2,19.84,16.44,18.64,19.2
33.2,19.75,16.52,18.59,19.2
33.2,19.94,16.56,18.69,19.37
33.3,19.45,16.75,18.93,19.42
33.3,19.5,16.81,18.94,19.44
33.3,19.43,17.1,18.95,19.39
33.4,19.32,16.72,19.53,20.14
33.4,19.2,17.14,19.52,20.21
33.4,19.19,17.11,19.52,20.14
33.5,18.43,17.25,19.07,19.97
33.5,18.57,17.39,18.99,20.14
33.5,18.41,17.39,19.1,20.16
34.1,20.8,17.52,19.87,20.52
34.1,20.66,17.59,19.84,20.49
34.1,20.9,17.47,19.82,20.53
34.2,19.91,17.29,19.59,20.01
34.2,19.94,17.35,19.63,20.1
34.2,19.99,17.38,19.63,19.95
34.3,19.35,17.59,19.84,20.47
34.3,19.27,17.52,19.77,20.5
34.3,19.35,17.63,19.63,20.51
34.4,19.03,16.57,18.95,19.99
34.4,19.22,16.66,18.9,20.14
34.4,19.1,16.75,18.87,20.07
34.5,19.1,16.42,18.57,19.09
34.5,19.12,16.44,18.63,19.05
34.5,19.19,16.62,18.68,19.25
36.1,19.95,17.17,18.99,19.96
36.1,19.93,17.13,19.46,20.04
36.1,19.86,16.74,19.4,19.99
36.2,20.32,17.32,19.52,20.26
36.2,20.32,17.37,19.56,20.28
36.2,20.28,17.34,19.56,20.3
36.3,19.85,16.87,19.46,20.27
36.3,19.96,16.82,19.53,20.27
36.3,19.86,16.86,19.52,20.3
36.4,18.83,17.56,19.69,20.78
36.4,18.78,17.4,19.64,20.81
36.4,18.92,17.41,19.77,20.91
36.5,18.15,16.41,18.13,19.29
36.5,17.98,16.38,18.65,19.38
36.5,17.97,16.42,18.56,19.39
