Name,GOI.data,Reference.index,GOI.normalised,Interval,Date,Note
27.1,0.5618,2.529810285,0.222071988,1,07/04/2014,Pass
27.2,1.7391,2.006478038,0.866742604,2,07/04/2014,Pass
27.3,2.2694,1.519998141,1.493028142,4,07/04/2014,Pass
27.4,3.4652,1.483601233,2.33566805,5,07/04/2014,Pass
27.5,2.0259,1.402842466,1.444139345,4,07/04/2014,Pass
29.1,0.5232,1.935184284,0.270361848,1,07/04/2014,Pass
29.2,0.9065,2.08660638,0.434437472,2,07/04/2014,Pass
29.3,0.551,2.455593336,0.224385688,1,07/04/2014,Pass
29.4,0.7418,2.561700113,0.289573317,1,07/04/2014,Pass
29.5,1.7541,1.633755615,1.073661192,3,07/04/2014,Pass
30.1,0.4314,2.001453941,0.215543306,1,07/04/2014,Pass
30.2,0.4321,1.965063351,0.21989113,1,07/04/2014,Pass
30.3,0.9973,1.613787615,0.617987145,2,07/04/2014,Pass
30.4,1.6951,1.24312362,1.363581202,4,07/04/2014,Pass
30.5,0.9353,0.643385738,1.45371578,4,07/04/2014,Pass
33.1,1.1531,2.313927169,0.498330291,2,31/03/2014,Pass
33.2,1.9236,2.902738872,0.66268448,2,31/03/2014,Pass
33.3,2.518,2.39219767,1.052588601,3,31/03/2014,Pass
33.4,2.9422,1.715519034,1.715049465,5,31/03/2014,Pass
33.5,5.0438,1.794414537,2.810833225,5,31/03/2014,Pass
34.1,0.9936,1.299287595,0.764726765,2,31/03/2014,Pass
34.2,1.7923,1.603568038,1.117695014,4,31/03/2014,Pass
34.3,2.7724,1.317837667,2.103749248,5,31/03/2014,Pass
34.4,3.2003,2.187691692,1.462866094,4,31/03/2014,Pass
34.5,3.1572,3.012699099,1.047963934,3,31/03/2014,Pass
36.1,1.8367,1.875505956,0.979309074,3,31/03/2014,Pass
36.2,1.3915,1.532853498,0.907784078,3,31/03/2014,Pass
36.3,1.8617,1.731888902,1.074953479,3,31/03/2014,Pass
36.4,3.884,1.267222904,3.064969855,5,31/03/2014,Pass
36.5,6.8363,3.03848882,2.249901318,5,31/03/2014,Pass
